sampleName,cellLine,numberCells,technique,ip,patientID,sampleID,condition,experimentName,technicalReplicate,genome,unmappedBam
CLL_ATAC-seq_3215_1-5-30597_ATAC29-12_hg19,CLL,,ATAC-seq,,3215,1-5-30597,,ATAC29-12,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3215_1_5_30597_ATAC29_12.bam
CLL_ATAC-seq_3215_1-5-34760_ATAC29-14_hg19,CLL,,ATAC-seq,,3215,1-5-34760,,ATAC29-14,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3215_1_5_34760_ATAC29_14.bam
CLL_ATAC-seq_3215_1-5-48685_ATAC29-15_hg19,CLL,,ATAC-seq,,3215,1-5-48685,,ATAC29-15,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3215_1_5_48685_ATAC29_15.bam
CLL_ATAC-seq_3215_1-5-6223_ATAC29-13_hg19,CLL,,ATAC-seq,,3215,1-5-6223,,ATAC29-13,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3215_1_5_6223_ATAC29_13.bam
CLL_ATAC-seq_3240_1-5-47651_ATAC29-2_hg19,CLL,,ATAC-seq,,3240,1-5-47651,,ATAC29-2,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_3240_1_5_47651_ATAC29_2.bam
CLL_ATAC-seq_3263_1-5-21872_ATAC30-10_hg19,CLL,,ATAC-seq,,3263,1-5-21872,,ATAC30-10,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_3263_1_5_21872_ATAC30_10.bam
CLL_ATAC-seq_3263_1-5-34818_ATAC30-11_hg19,CLL,,ATAC-seq,,3263,1-5-34818,,ATAC30-11,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3263_1_5_34818_ATAC30_11.bam
CLL_ATAC-seq_3386_1-5-37411_ATAC31-5_hg19,CLL,,ATAC-seq,,3386,1-5-37411,,ATAC31-5,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_3386_1_5_37411_ATAC31_5.bam
CLL_ATAC-seq_3439_1-5-24904_ATAC29-18_hg19,CLL,,ATAC-seq,,3439,1-5-24904,,ATAC29-18,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3439_1_5_24904_ATAC29_18.bam
CLL_ATAC-seq_3439_1-5-31907_ATAC29-3_hg19,CLL,,ATAC-seq,,3439,1-5-31907,,ATAC29-3,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_3439_1_5_31907_ATAC29_3.bam
CLL_ATAC-seq_3439_1-5-6735_ATAC29-19_hg19,CLL,,ATAC-seq,,3439,1-5-6735,,ATAC29-19,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3439_1_5_6735_ATAC29_19.bam
CLL_ATAC-seq_3492_1-5-13203_ATAC29-20_hg19,CLL,,ATAC-seq,,3492,1-5-13203,,ATAC29-20,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3492_1_5_13203_ATAC29_20.bam
CLL_ATAC-seq_3492_1-5-30784_ATAC32-14_hg19,CLL,,ATAC-seq,,3492,1-5-30784,,ATAC32-14,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_3492_1_5_30784_ATAC32_14.bam
CLL_ATAC-seq_3756_1-5-33669_ATAC32-9_hg19,CLL,,ATAC-seq,,3756,1-5-33669,,ATAC32-9,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_3756_1_5_33669_ATAC32_9.bam
CLL_ATAC-seq_3811_1-5-39729_ATAC30-14_hg19,CLL,,ATAC-seq,,3811,1-5-39729,,ATAC30-14,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_3811_1_5_39729_ATAC30_14.bam
CLL_ATAC-seq_3823_1-5-12816_ATAC31-14_hg19,CLL,,ATAC-seq,,3823,1-5-12816,,ATAC31-14,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_1_samples/BSF_0178_H322GBBXX_1#CLL_ATAC_seq_3823_1_5_12816_ATAC31_14.bam
CLL_ATAC-seq_3823_1-5-51124_ATAC27-7_hg19,CLL,,ATAC-seq,,3823,1-5-51124,,ATAC27-7,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_3823_1_5_51124_ATAC27_7.bam
CLL_ATAC-seq_3873_1-5-606_ATAC29-8_hg19,CLL,,ATAC-seq,,3873,1-5-606,,ATAC29-8,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_3873_1_5_606_ATAC29_8.bam
CLL_ATAC-seq_3943_1-5-55787_ATAC29-28_hg19,CLL,,ATAC-seq,,3943,1-5-55787,,ATAC29-28,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_3943_1_5_55787_ATAC29_28.bam
CLL_ATAC-seq_3980_1-5-49011_ATAC29-9_hg19,CLL,,ATAC-seq,,3980,1-5-49011,,ATAC29-9,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_3980_1_5_49011_ATAC29_9.bam
